,Target,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Sex_F,Sex_I,Sex_M,water,ratio,new6,a2
0,15,0.455,0.365,0.095,3,0.2245,0.101,0.15,0,0,1,1.5245,0.11225,0.26549999999999996,-0.2434171274734761
1,7,0.35,0.265,0.09,2,0.0995,0.0485,0.07,0,0,1,0.782,0.0995,0.2205,-0.17458932834869575
2,9,0.53,0.42,0.135,3,0.2565,0.1415,0.21,1,0,0,1.392,0.12825,0.43349999999999994,-0.6107916497684962
3,10,0.44,0.365,0.125,3,0.2155,0.114,0.155,0,0,1,1.5154999999999998,0.10775,0.34450000000000003,-0.40885286454160086
4,7,0.33,0.255,0.08,2,0.0895,0.0395,0.055,0,1,0,0.8160000000000001,0.0895,0.18050000000000002,-0.056552958149216126
5,8,0.425,0.3,0.095,2,0.141,0.0775,0.12,0,1,0,0.6615,0.141,0.28900000000000003,-0.36595653534342987
6,20,0.53,0.415,0.15,3,0.237,0.1415,0.33,1,0,0,1.2915,0.1185,0.723,-1.1327460975861223
7,16,0.545,0.425,0.125,3,0.294,0.1495,0.26,1,0,0,1.2965,0.147,0.47600000000000003,-0.7156900912739135
8,9,0.475,0.37,0.125,3,0.2165,0.1125,0.165,0,0,1,1.506,0.10825,0.36350000000000005,-0.43403389610702303
9,19,0.55,0.44,0.15,3,0.3145,0.151,0.32,1,0,0,1.2145,0.15725,0.6255,-1.0022402628269695
10,14,0.525,0.38,0.14,3,0.194,0.1475,0.21,1,0,0,1.4485000000000001,0.097,0.506,-0.6879354968128888
11,10,0.43,0.35,0.11,2,0.1675,0.081,0.135,0,0,1,0.6165,0.1675,0.3225,-0.5051831836442443
12,11,0.49,0.38,0.135,3,0.2175,0.095,0.19,0,0,1,1.4975,0.10875,0.4325,-0.5758738497048526
13,10,0.535,0.405,0.145,3,0.2725,0.171,0.205,1,0,0,1.3515000000000001,0.13625,0.42749999999999994,-0.5824448256783492
14,10,0.47,0.355,0.1,2,0.1675,0.0805,0.185,1,0,0,0.567,0.1675,0.4025000000000001,-0.6839041970056162
15,12,0.5,0.4,0.13,3,0.258,0.133,0.24,0,0,1,1.369,0.129,0.482,-0.71395754225469
16,7,0.355,0.28,0.085,2,0.095,0.0395,0.115,0,1,0,0.7505,0.095,0.30500000000000005,-0.4443047067215214
17,10,0.44,0.34,0.1,2,0.188,0.087,0.13,1,0,0,0.595,0.188,0.272,-0.37483422314626624
18,7,0.365,0.295,0.08,2,0.097,0.043,0.1,0,0,1,0.76,0.097,0.263,-0.32723795931868943
19,9,0.45,0.32,0.1,2,0.1705,0.075,0.115,0,0,1,0.6395,0.1705,0.25950000000000006,-0.30348907924843543
